@relation airline_passengers-weka.filters.unsupervised.instance.Resample-S1-Z70.0-no-replacement

@attribute passenger_numbers numeric
@attribute Date date yyyy-MM-dd

@data
270,1955-05-01
145,1951-01-01
313,1956-04-01
435,1958-06-01
407,1959-10-01
129,1949-04-01
114,1950-11-01
277,1956-02-01
196,1953-01-01
622,1960-07-01
166,1951-12-01
422,1957-06-01
413,1956-07-01
432,1960-12-01
472,1959-06-01
191,1952-10-01
218,1952-06-01
135,1949-06-01
363,1958-05-01
271,1956-11-01
184,1951-09-01
390,1960-11-01
284,1956-01-01
172,1951-05-01
461,1960-10-01
355,1957-05-01
264,1953-07-01
272,1953-08-01
348,1957-04-01
269,1955-04-01
505,1958-08-01
318,1958-02-01
312,1955-09-01
178,1951-03-01
194,1952-12-01
193,1952-03-01
135,1950-04-01
132,1949-03-01
491,1958-07-01
318,1956-05-01
404,1957-09-01
148,1949-07-01
118,1949-02-01
508,1960-09-01
171,1952-01-01
356,1957-03-01
535,1960-06-01
348,1958-04-01
242,1955-01-01
317,1956-03-01
163,1951-04-01
121,1949-05-01
405,1959-12-01
209,1952-09-01
302,1954-07-01
315,1955-06-01
359,1958-10-01
548,1959-07-01
229,1954-12-01
140,1950-12-01
141,1950-03-01
178,1951-06-01
278,1955-12-01
419,1960-03-01
374,1956-06-01
162,1951-10-01
242,1952-08-01
125,1950-05-01
404,1958-09-01
391,1960-02-01
180,1952-02-01
360,1959-01-01
406,1959-03-01
235,1954-03-01
119,1949-10-01
267,1955-03-01
243,1953-06-01
204,1954-01-01
336,1957-12-01
237,1953-09-01
463,1959-09-01
461,1960-04-01
199,1951-08-01
342,1959-02-01
234,1954-05-01
115,1950-01-01
362,1958-03-01
301,1957-02-01
420,1959-05-01
126,1950-02-01
310,1958-11-01
230,1952-07-01
188,1954-02-01
236,1953-03-01
227,1954-04-01
146,1951-11-01
199,1951-07-01
133,1950-10-01
181,1952-04-01
347,1957-10-01
