@relation cpu-weka.filters.unsupervised.instance.RemovePercentage-P30.0

@attribute MYCT numeric
@attribute MMIN numeric
@attribute MMAX numeric
@attribute CACH numeric
@attribute CHMIN numeric
@attribute CHMAX numeric
@attribute class numeric

@data
75,2000,8000,64,1,38,144
75,2000,16000,64,1,38,144
75,2000,16000,128,1,38,259
90,256,1000,0,3,10,17
105,256,2000,0,3,10,26
105,1000,4000,0,3,24,32
105,2000,4000,8,3,19,32
75,2000,8000,8,3,24,62
75,3000,8000,8,3,48,64
175,256,2000,0,3,24,22
300,768,3000,0,6,24,36
300,768,3000,6,6,24,44
300,768,12000,6,6,24,50
300,768,4500,0,1,24,45
300,384,12000,6,1,24,53
300,192,768,6,6,24,36
180,768,12000,6,1,31,84
330,1000,3000,0,2,4,16
300,1000,4000,8,3,64,38
300,1000,16000,8,2,112,38
330,1000,2000,0,1,2,16
330,1000,4000,0,3,6,22
140,2000,4000,0,3,6,29
140,2000,4000,0,4,8,40
140,2000,4000,8,1,20,35
140,2000,32000,32,1,20,134
140,2000,8000,32,1,54,66
140,2000,32000,32,1,54,141
140,2000,32000,32,1,54,189
140,2000,4000,8,1,20,22
57,4000,16000,1,6,12,132
57,4000,24000,64,12,16,237
26,16000,32000,64,16,24,465
26,16000,32000,64,8,24,465
26,8000,32000,0,8,24,277
26,8000,16000,0,8,16,185
480,96,512,0,1,1,6
203,1000,2000,0,1,5,24
115,512,6000,16,1,6,45
1100,512,1500,0,1,1,7
1100,768,2000,0,1,1,13
600,768,2000,0,1,1,16
400,2000,4000,0,1,1,32
400,4000,8000,0,1,1,32
900,1000,1000,0,1,2,11
900,512,1000,0,1,2,11
900,1000,4000,4,1,2,18
900,1000,4000,8,1,2,22
900,2000,4000,0,3,6,37
225,2000,4000,8,3,6,40
225,2000,4000,8,3,6,34
180,2000,8000,8,1,6,50
185,2000,16000,16,1,6,76
180,2000,16000,16,1,6,66
225,1000,4000,2,3,6,24
25,2000,12000,8,1,4,49
25,2000,12000,16,3,5,66
17,4000,16000,8,6,12,100
17,4000,16000,32,6,12,133
1500,768,1000,0,0,0,12
1500,768,2000,0,0,0,18
800,768,2000,0,0,0,20
50,2000,4000,0,3,6,27
50,2000,8000,8,3,6,45
50,2000,8000,8,1,6,56
50,2000,16000,24,1,6,70
50,2000,16000,24,1,6,80
50,8000,16000,48,1,10,136
100,1000,8000,0,2,6,16
100,1000,8000,24,2,6,26
100,1000,8000,24,3,6,32
50,2000,16000,12,3,16,45
50,2000,16000,24,6,16,54
50,2000,16000,24,6,16,65
150,512,4000,0,8,128,30
115,2000,8000,16,1,3,50
115,2000,4000,2,1,5,40
92,2000,8000,32,1,6,62
92,2000,8000,32,1,6,60
92,2000,8000,4,1,6,50
75,4000,16000,16,1,6,66
60,4000,16000,32,1,6,86
60,2000,16000,64,5,8,74
60,4000,16000,64,5,8,93
50,4000,16000,64,5,10,111
72,4000,16000,64,8,16,143
72,2000,8000,16,6,8,105
40,8000,16000,32,8,16,214
40,8000,32000,64,8,24,277
35,8000,32000,64,8,24,370
38,16000,32000,128,16,32,510
48,4000,24000,32,8,24,214
38,8000,32000,64,8,24,326
30,16000,32000,256,16,24,510
112,1000,1000,0,1,4,8
84,1000,2000,0,1,6,12
56,1000,4000,0,1,6,17
56,2000,6000,0,1,8,21
56,2000,8000,0,1,8,24
56,4000,8000,0,1,8,34
56,4000,12000,0,1,8,42
56,4000,16000,0,1,8,46
38,4000,8000,32,16,32,51
38,4000,8000,32,16,32,116
38,8000,16000,64,4,8,100
38,8000,24000,160,4,8,140
38,4000,16000,128,16,32,212
200,1000,2000,0,1,2,25
200,1000,4000,0,1,4,30
200,2000,8000,64,1,5,41
250,512,4000,0,1,7,25
250,512,4000,0,4,7,50
250,1000,16000,1,1,8,50
160,512,4000,2,1,5,30
160,512,2000,2,3,8,32
160,1000,4000,8,1,14,38
160,1000,8000,16,1,14,60
160,2000,8000,32,1,13,109
240,512,1000,8,1,3,6
240,512,2000,8,1,5,11
105,2000,4000,8,3,8,22
105,2000,6000,16,6,16,33
105,2000,8000,16,4,14,58
52,4000,16000,32,4,12,130
70,4000,12000,8,6,8,75
59,4000,12000,32,6,12,113
59,8000,16000,64,12,24,188
26,8000,24000,32,8,16,173
26,8000,32000,64,12,16,248
26,8000,32000,128,24,32,405
116,2000,8000,32,5,28,70
50,2000,32000,24,6,26,114
50,2000,32000,48,26,52,208
50,2000,32000,112,52,104,307
50,4000,32000,112,52,104,397
30,8000,64000,96,12,176,915
30,8000,64000,128,12,176,1150
180,262,4000,0,1,3,12
180,512,4000,0,1,3,14
180,262,4000,0,1,3,18
180,512,4000,0,1,3,21
124,1000,8000,0,1,8,42
98,1000,8000,32,2,8,46
125,2000,8000,0,2,14,52
480,512,8000,32,0,0,67
480,1000,4000,0,0,0,45
